Transaction_ID,Date,Customer_Name,Region,Industry,Product,Quantity,Unit_Price,Total_Value,Sales_Rep,Lead_Source,Deal_Stage,Probability
TXN-1000,2025-10-30,"Jacobs, Evans and Snyder",LATAM,Finance,Enterprise Pack,3,50000,150000,Sarah Miller,Event,Closed Won,100
TXN-1001,2025-11-02,Smith LLC,Asia Pacific,Retail,SaaS License Basic,12,500,6000,James Carter,Event,Closed Won,100
TXN-1002,2025-10-20,Dominguez-Cooper,LATAM,Retail,SaaS License Pro,5,1200,6000,Elena Rodriguez,Cold Call,Proposal,50
TXN-1003,2025-10-26,Johnson-Patrick,Asia Pacific,Healthcare,AI Module Addon,9,15000,135000,David Kim,LinkedIn,Negotiation,75
TXN-1004,2025-11-06,Martin-Howard,Asia Pacific,Tech,SaaS License Basic,1,500,500,Sarah Miller,Cold Call,Discovery,20
TXN-1005,2025-08-30,"Murray, Armstrong and Gonzalez",North America,Manufacturing,SaaS License Basic,12,500,6000,David Kim,LinkedIn,Discovery,20
TXN-1006,2025-09-08,"Ramirez, Cooper and Mason",LATAM,Tech,Consulting Hours,19,150,2850,Elena Rodriguez,LinkedIn,Closed Won,100
TXN-1007,2025-11-14,Burch-Martin,LATAM,Healthcare,Enterprise Pack,13,50000,650000,James Carter,Referral,Closed Lost,0
TXN-1008,2025-09-05,Silva-Fernandez,Asia Pacific,Retail,Consulting Hours,2,150,300,James Carter,Website,Negotiation,75
TXN-1009,2025-10-27,"King, Harmon and Krueger",North America,Healthcare,Enterprise Pack,2,50000,100000,Elena Rodriguez,LinkedIn,Closed Won,100
TXN-1010,2025-08-30,Santiago Inc,Asia Pacific,Manufacturing,AI Module Addon,13,15000,195000,James Carter,Website,Negotiation,75
TXN-1011,2025-10-05,Nunez and Sons,Europe,Tech,AI Module Addon,7,15000,105000,Elena Rodriguez,Referral,Closed Won,100
TXN-1012,2025-10-03,Walters PLC,North America,Tech,Consulting Hours,5,150,750,David Kim,Referral,Closed Won,100
TXN-1013,2025-10-27,Donaldson-Becker,North America,Finance,AI Module Addon,15,15000,225000,James Carter,Referral,Discovery,20
TXN-1014,2025-09-11,"Hicks, Gonzalez and Harris",Asia Pacific,Retail,Consulting Hours,2,150,300,James Carter,Website,Qualifying,20
TXN-1015,2025-08-31,"Wood, Palmer and Meyer",LATAM,Tech,SaaS License Pro,5,1200,6000,David Kim,Referral,Negotiation,75
TXN-1016,2025-11-17,Martin Group,Asia Pacific,Manufacturing,Enterprise Pack,9,50000,450000,James Carter,Event,Closed Lost,0
TXN-1017,2025-10-15,Sandoval and Sons,Asia Pacific,Healthcare,Enterprise Pack,15,50000,750000,Elena Rodriguez,Website,Qualifying,20
TXN-1018,2025-09-13,"Patterson, Wise and Morgan",North America,Healthcare,SaaS License Pro,17,1200,20400,David Kim,Event,Qualifying,20
TXN-1019,2025-09-08,Jones-Cook,North America,Retail,AI Module Addon,2,15000,30000,David Kim,Website,Proposal,50
TXN-1020,2025-10-04,"Wilkerson, Russell and Elliott",Europe,Retail,SaaS License Pro,3,1200,3600,Elena Rodriguez,Referral,Closed Lost,0
TXN-1021,2025-11-21,Webb-Howard,Asia Pacific,Healthcare,Enterprise Pack,4,50000,200000,Sarah Miller,Referral,Closed Lost,0
TXN-1022,2025-09-22,Moreno Group,North America,Manufacturing,Enterprise Pack,16,50000,800000,Sarah Miller,Event,Proposal,50
TXN-1023,2025-09-18,Lee LLC,Asia Pacific,Manufacturing,Enterprise Pack,7,50000,350000,Elena Rodriguez,Referral,Proposal,50
TXN-1024,2025-10-10,"Thompson, Doyle and Delacruz",Asia Pacific,Finance,AI Module Addon,18,15000,270000,David Kim,Website,Closed Won,100
TXN-1025,2025-10-28,Johnson-Davis,Asia Pacific,Retail,Consulting Hours,10,150,1500,Elena Rodriguez,LinkedIn,Discovery,20
TXN-1026,2025-09-14,Johnston PLC,LATAM,Tech,SaaS License Basic,1,500,500,Elena Rodriguez,LinkedIn,Negotiation,75
TXN-1027,2025-10-10,"Lee, Walter and Kelly",Europe,Manufacturing,AI Module Addon,16,15000,240000,David Kim,Referral,Qualifying,20
TXN-1028,2025-08-27,"Pitts, Ward and Harris",LATAM,Retail,Consulting Hours,12,150,1800,Elena Rodriguez,Referral,Discovery,20
TXN-1029,2025-10-31,"Fox, Robinson and Smith",North America,Finance,Consulting Hours,18,150,2700,David Kim,Website,Discovery,20
TXN-1030,2025-09-02,"Ramirez, Patterson and Schwartz",North America,Tech,SaaS License Pro,16,1200,19200,Sarah Miller,Website,Negotiation,75
TXN-1031,2025-09-16,"Miller, Barrett and Washington",North America,Retail,Consulting Hours,12,150,1800,James Carter,LinkedIn,Closed Won,100
TXN-1032,2025-11-20,Tanner-Fields,Asia Pacific,Healthcare,Consulting Hours,19,150,2850,David Kim,Event,Qualifying,20
TXN-1033,2025-10-17,"Stevens, Clark and Williams",LATAM,Tech,Consulting Hours,3,150,450,James Carter,LinkedIn,Negotiation,75
TXN-1034,2025-11-09,Singh LLC,LATAM,Manufacturing,SaaS License Pro,7,1200,8400,Sarah Miller,Referral,Closed Won,100
TXN-1035,2025-09-21,"Jackson, West and White",Europe,Tech,AI Module Addon,16,15000,240000,James Carter,Cold Call,Closed Lost,0
TXN-1036,2025-09-19,Ballard-Tate,North America,Manufacturing,SaaS License Basic,17,500,8500,Sarah Miller,Event,Proposal,50
TXN-1037,2025-09-23,"Wade, Jones and Medina",North America,Finance,SaaS License Pro,13,1200,15600,Elena Rodriguez,Event,Proposal,50
TXN-1038,2025-09-12,Martinez PLC,LATAM,Manufacturing,SaaS License Basic,3,500,1500,Elena Rodriguez,Referral,Negotiation,75
TXN-1039,2025-10-29,Garcia-Graham,Europe,Retail,SaaS License Basic,16,500,8000,David Kim,Referral,Closed Lost,0
TXN-1040,2025-08-30,Huffman-Bridges,LATAM,Tech,SaaS License Basic,19,500,9500,James Carter,Referral,Negotiation,75
TXN-1041,2025-09-19,"Mcdonald, Oneill and Anderson",Asia Pacific,Finance,SaaS License Pro,13,1200,15600,James Carter,LinkedIn,Negotiation,75
TXN-1042,2025-11-19,Mathis and Sons,LATAM,Finance,AI Module Addon,1,15000,15000,David Kim,Event,Negotiation,75
TXN-1043,2025-08-30,"Smith, White and Davis",North America,Healthcare,SaaS License Basic,11,500,5500,David Kim,Cold Call,Negotiation,75
TXN-1044,2025-08-30,"Jackson, Irwin and Callahan",LATAM,Healthcare,SaaS License Pro,9,1200,10800,David Kim,Cold Call,Closed Won,100
TXN-1045,2025-10-03,"Kim, Johnston and Conner",North America,Finance,Enterprise Pack,6,50000,300000,Elena Rodriguez,Event,Closed Lost,0
TXN-1046,2025-09-14,Nguyen Ltd,Europe,Manufacturing,SaaS License Basic,15,500,7500,Sarah Miller,Event,Negotiation,75
TXN-1047,2025-10-13,Evans PLC,Europe,Finance,AI Module Addon,9,15000,135000,David Kim,LinkedIn,Discovery,20
TXN-1048,2025-10-16,Schmidt-Cobb,LATAM,Tech,Consulting Hours,12,150,1800,James Carter,LinkedIn,Closed Won,100
TXN-1049,2025-08-30,English-Johnson,LATAM,Manufacturing,AI Module Addon,20,15000,300000,Sarah Miller,Referral,Closed Lost,0
TXN-1050,2025-10-17,"Contreras, Myers and Young",Asia Pacific,Manufacturing,SaaS License Pro,3,1200,3600,Elena Rodriguez,Cold Call,Qualifying,20
TXN-1051,2025-10-24,"Torres, Allen and Melton",North America,Manufacturing,Enterprise Pack,19,50000,950000,James Carter,LinkedIn,Discovery,20
TXN-1052,2025-11-11,Williams Group,Europe,Manufacturing,SaaS License Basic,19,500,9500,Elena Rodriguez,Website,Negotiation,75
TXN-1053,2025-10-18,"Schroeder, Scott and Golden",North America,Manufacturing,Enterprise Pack,8,50000,400000,Elena Rodriguez,Website,Negotiation,75
TXN-1054,2025-09-22,"Mccann, Booker and Madden",Europe,Manufacturing,SaaS License Pro,12,1200,14400,David Kim,Cold Call,Closed Won,100
TXN-1055,2025-09-21,Graves-Mack,LATAM,Healthcare,Enterprise Pack,17,50000,850000,Elena Rodriguez,LinkedIn,Discovery,20
TXN-1056,2025-10-01,Fields-Padilla,North America,Healthcare,Enterprise Pack,2,50000,100000,James Carter,Event,Negotiation,75
TXN-1057,2025-10-18,Murphy PLC,North America,Tech,AI Module Addon,11,15000,165000,Sarah Miller,Event,Negotiation,75
TXN-1058,2025-09-22,Kennedy-Owen,LATAM,Finance,Enterprise Pack,14,50000,700000,David Kim,Event,Proposal,50
TXN-1059,2025-10-06,Perez-Jackson,LATAM,Retail,SaaS License Basic,16,500,8000,Elena Rodriguez,LinkedIn,Qualifying,20
TXN-1060,2025-10-31,Perry Inc,Europe,Healthcare,Consulting Hours,9,150,1350,James Carter,LinkedIn,Proposal,50
TXN-1061,2025-10-22,"Bailey, Ramirez and Rodriguez",LATAM,Healthcare,Consulting Hours,14,150,2100,Sarah Miller,LinkedIn,Closed Won,100
TXN-1062,2025-10-02,Wong-Smith,Europe,Retail,Consulting Hours,9,150,1350,David Kim,Cold Call,Closed Lost,0
TXN-1063,2025-09-12,"Rice, Wyatt and Rodriguez",Europe,Finance,SaaS License Basic,5,500,2500,David Kim,LinkedIn,Closed Won,100
TXN-1064,2025-11-19,Wagner Inc,Europe,Finance,SaaS License Pro,19,1200,22800,James Carter,Cold Call,Closed Won,100
TXN-1065,2025-09-30,"Mercado, Shaw and Horn",Europe,Healthcare,SaaS License Pro,4,1200,4800,Elena Rodriguez,Cold Call,Closed Won,100
TXN-1066,2025-09-10,Hill-Snyder,Asia Pacific,Tech,Enterprise Pack,16,50000,800000,Elena Rodriguez,Website,Closed Won,100
TXN-1067,2025-10-19,Young-Beck,Asia Pacific,Healthcare,AI Module Addon,20,15000,300000,James Carter,Website,Proposal,50
TXN-1068,2025-09-04,"Herrera, Reynolds and Hunter",LATAM,Tech,SaaS License Basic,12,500,6000,David Kim,Website,Closed Won,100
TXN-1069,2025-09-28,Bryan Ltd,Asia Pacific,Tech,AI Module Addon,14,15000,210000,Elena Rodriguez,Referral,Closed Lost,0
TXN-1070,2025-10-06,Jones-Thornton,LATAM,Finance,SaaS License Pro,19,1200,22800,Sarah Miller,Referral,Closed Lost,0
TXN-1071,2025-09-09,Hoffman-Roy,North America,Tech,Enterprise Pack,12,50000,600000,Elena Rodriguez,LinkedIn,Negotiation,75
TXN-1072,2025-10-21,Garcia-Smith,LATAM,Manufacturing,AI Module Addon,16,15000,240000,David Kim,LinkedIn,Proposal,50
TXN-1073,2025-09-13,"Beck, Deleon and Reilly",North America,Finance,AI Module Addon,3,15000,45000,Sarah Miller,Website,Proposal,50
TXN-1074,2025-09-14,Stewart Ltd,Asia Pacific,Tech,SaaS License Basic,12,500,6000,David Kim,Referral,Closed Won,100
TXN-1075,2025-10-09,"Wolfe, Fitzpatrick and Morgan",North America,Manufacturing,AI Module Addon,5,15000,75000,Elena Rodriguez,Cold Call,Discovery,20
TXN-1076,2025-11-07,Mueller-Jarvis,North America,Healthcare,Enterprise Pack,2,50000,100000,David Kim,Cold Call,Qualifying,20
TXN-1077,2025-11-10,"Wilson, Martin and Miller",Asia Pacific,Manufacturing,SaaS License Pro,6,1200,7200,Elena Rodriguez,Website,Negotiation,75
TXN-1078,2025-10-27,Copeland LLC,Asia Pacific,Manufacturing,AI Module Addon,15,15000,225000,Elena Rodriguez,LinkedIn,Closed Won,100
TXN-1079,2025-11-21,Taylor-Williams,North America,Healthcare,SaaS License Basic,5,500,2500,David Kim,Event,Qualifying,20
TXN-1080,2025-09-18,Taylor-Lee,Europe,Tech,SaaS License Pro,5,1200,6000,Elena Rodriguez,Referral,Proposal,50
TXN-1081,2025-10-30,"Alexander, Briggs and Hughes",North America,Healthcare,SaaS License Pro,18,1200,21600,James Carter,LinkedIn,Proposal,50
TXN-1082,2025-10-14,"Kaufman, Macdonald and Bell",LATAM,Tech,Consulting Hours,10,150,1500,Sarah Miller,Cold Call,Proposal,50
TXN-1083,2025-09-15,"Reed, Horne and Perez",Asia Pacific,Manufacturing,SaaS License Pro,11,1200,13200,Sarah Miller,Referral,Proposal,50
TXN-1084,2025-08-25,"Mccarthy, Jones and Green",Europe,Finance,AI Module Addon,20,15000,300000,James Carter,Website,Qualifying,20
TXN-1085,2025-09-25,Webb LLC,LATAM,Retail,AI Module Addon,17,15000,255000,David Kim,LinkedIn,Negotiation,75
TXN-1086,2025-09-12,Brooks-Kane,LATAM,Healthcare,Consulting Hours,10,150,1500,James Carter,Event,Closed Won,100
TXN-1087,2025-10-15,Richardson Group,Europe,Finance,Enterprise Pack,10,50000,500000,David Kim,Referral,Qualifying,20
TXN-1088,2025-11-02,"Goodwin, Fisher and Johnson",Asia Pacific,Healthcare,Enterprise Pack,19,50000,950000,David Kim,Referral,Closed Won,100
TXN-1089,2025-11-02,Lee-Thompson,Europe,Healthcare,SaaS License Basic,6,500,3000,David Kim,LinkedIn,Closed Lost,0
TXN-1090,2025-09-20,Ellis-Morales,LATAM,Finance,AI Module Addon,18,15000,270000,Elena Rodriguez,Event,Closed Won,100
TXN-1091,2025-10-11,Davis and Sons,Europe,Tech,SaaS License Pro,2,1200,2400,Sarah Miller,Event,Discovery,20
TXN-1092,2025-09-07,Bates Group,LATAM,Healthcare,Consulting Hours,19,150,2850,David Kim,Event,Discovery,20
TXN-1093,2025-10-21,Walker Inc,North America,Retail,Consulting Hours,14,150,2100,David Kim,Website,Discovery,20
TXN-1094,2025-09-09,"Mccormick, Steele and Stewart",North America,Tech,Enterprise Pack,18,50000,900000,David Kim,LinkedIn,Qualifying,20
TXN-1095,2025-11-16,"Wilson, Johnson and Gonzalez",North America,Finance,Enterprise Pack,15,50000,750000,Sarah Miller,LinkedIn,Qualifying,20
TXN-1096,2025-11-09,Anderson PLC,Europe,Tech,SaaS License Pro,19,1200,22800,Sarah Miller,Event,Closed Won,100
TXN-1097,2025-11-14,Paul-Brown,Europe,Healthcare,Consulting Hours,3,150,450,James Carter,Referral,Discovery,20
TXN-1098,2025-11-19,"Flores, Schneider and Rogers",Europe,Healthcare,AI Module Addon,19,15000,285000,James Carter,Cold Call,Closed Won,100
TXN-1099,2025-11-14,Jackson Inc,North America,Manufacturing,SaaS License Pro,3,1200,3600,James Carter,Referral,Discovery,20
TXN-1100,2025-10-15,Orr Inc,Europe,Healthcare,SaaS License Basic,19,500,9500,Elena Rodriguez,LinkedIn,Proposal,50
TXN-1101,2025-09-23,"Velasquez, Melton and Lucas",North America,Healthcare,SaaS License Basic,19,500,9500,James Carter,LinkedIn,Closed Lost,0
TXN-1102,2025-08-30,Kelley and Sons,LATAM,Finance,SaaS License Basic,11,500,5500,Elena Rodriguez,Cold Call,Proposal,50
TXN-1103,2025-11-04,Kim Group,Europe,Tech,SaaS License Basic,16,500,8000,Sarah Miller,Event,Closed Won,100
TXN-1104,2025-09-16,Frey-Best,Europe,Healthcare,SaaS License Basic,12,500,6000,Sarah Miller,Website,Proposal,50
TXN-1105,2025-11-17,Rodriguez-Evans,North America,Retail,SaaS License Pro,7,1200,8400,Elena Rodriguez,Website,Closed Won,100
TXN-1106,2025-11-04,Sandoval-Wright,LATAM,Finance,SaaS License Basic,1,500,500,Elena Rodriguez,Event,Closed Won,100
TXN-1107,2025-11-13,Jackson Ltd,Asia Pacific,Manufacturing,SaaS License Basic,14,500,7000,David Kim,Website,Closed Lost,0
TXN-1108,2025-10-10,Smith and Sons,Asia Pacific,Finance,Enterprise Pack,5,50000,250000,Sarah Miller,Referral,Closed Won,100
TXN-1109,2025-09-18,"Cummings, Diaz and Morgan",LATAM,Tech,Consulting Hours,17,150,2550,Elena Rodriguez,LinkedIn,Qualifying,20
TXN-1110,2025-10-30,Lang-Jones,Europe,Tech,Enterprise Pack,17,50000,850000,David Kim,LinkedIn,Proposal,50
TXN-1111,2025-10-01,Morgan-Morgan,Asia Pacific,Healthcare,SaaS License Basic,5,500,2500,David Kim,Website,Closed Won,100
TXN-1112,2025-10-19,Rogers LLC,LATAM,Healthcare,Enterprise Pack,3,50000,150000,Elena Rodriguez,Website,Closed Won,100
TXN-1113,2025-11-12,Roberts Group,North America,Finance,AI Module Addon,13,15000,195000,Sarah Miller,Referral,Qualifying,20
TXN-1114,2025-08-27,"Hudson, Velez and Vasquez",LATAM,Healthcare,SaaS License Pro,1,1200,1200,James Carter,Cold Call,Closed Lost,0
TXN-1115,2025-08-29,"Harris, Ruiz and Murphy",North America,Tech,SaaS License Pro,17,1200,20400,James Carter,Website,Closed Won,100
TXN-1116,2025-10-23,"Watson, Bailey and Hernandez",Europe,Manufacturing,AI Module Addon,1,15000,15000,James Carter,Website,Negotiation,75
TXN-1117,2025-08-29,Hodge-Wallace,Asia Pacific,Retail,AI Module Addon,17,15000,255000,James Carter,Event,Negotiation,75
TXN-1118,2025-11-19,Davidson LLC,Asia Pacific,Manufacturing,Consulting Hours,2,150,300,James Carter,LinkedIn,Qualifying,20
TXN-1119,2025-09-02,Blackwell-Ferrell,LATAM,Healthcare,Enterprise Pack,13,50000,650000,Sarah Miller,Event,Discovery,20
TXN-1120,2025-10-08,Lopez PLC,North America,Manufacturing,AI Module Addon,15,15000,225000,Elena Rodriguez,Cold Call,Negotiation,75
TXN-1121,2025-09-25,Soto-Haynes,North America,Retail,SaaS License Basic,3,500,1500,James Carter,Event,Negotiation,75
TXN-1122,2025-09-16,"Anderson, Walker and Wright",Europe,Tech,Enterprise Pack,14,50000,700000,James Carter,Event,Closed Lost,0
TXN-1123,2025-09-24,Sellers-Martinez,LATAM,Finance,Consulting Hours,16,150,2400,Elena Rodriguez,Referral,Qualifying,20
TXN-1124,2025-10-15,Durham-Sanchez,LATAM,Manufacturing,Enterprise Pack,18,50000,900000,Sarah Miller,Event,Negotiation,75
TXN-1125,2025-10-24,Carter-Johnson,Asia Pacific,Manufacturing,Consulting Hours,5,150,750,James Carter,Referral,Qualifying,20
TXN-1126,2025-09-26,"Bell, Martinez and Ferguson",Europe,Finance,Enterprise Pack,5,50000,250000,James Carter,Event,Closed Lost,0
TXN-1127,2025-11-18,Hoffman Inc,LATAM,Retail,SaaS License Pro,17,1200,20400,David Kim,Referral,Closed Lost,0
TXN-1128,2025-11-10,Adams Ltd,Asia Pacific,Tech,AI Module Addon,3,15000,45000,Sarah Miller,LinkedIn,Negotiation,75
TXN-1129,2025-10-04,Ortiz and Sons,Europe,Manufacturing,Consulting Hours,2,150,300,David Kim,Cold Call,Discovery,20
TXN-1130,2025-08-29,"Dunn, Potts and Wilkinson",Asia Pacific,Healthcare,SaaS License Basic,20,500,10000,Elena Rodriguez,Cold Call,Negotiation,75
TXN-1131,2025-09-06,Miller and Sons,Europe,Tech,AI Module Addon,12,15000,180000,Sarah Miller,Cold Call,Closed Lost,0
TXN-1132,2025-09-16,Kane-Scott,North America,Retail,AI Module Addon,9,15000,135000,Sarah Miller,Referral,Discovery,20
TXN-1133,2025-09-14,Gordon-Dodson,LATAM,Finance,Consulting Hours,7,150,1050,Sarah Miller,Cold Call,Proposal,50
TXN-1134,2025-09-21,"Martinez, Moon and Murphy",Asia Pacific,Healthcare,SaaS License Basic,3,500,1500,Sarah Miller,Referral,Closed Won,100
TXN-1135,2025-10-06,Robles PLC,Asia Pacific,Finance,SaaS License Basic,10,500,5000,David Kim,Event,Qualifying,20
TXN-1136,2025-08-28,"Hudson, Moore and Martinez",Asia Pacific,Healthcare,SaaS License Basic,13,500,6500,Sarah Miller,Referral,Discovery,20
TXN-1137,2025-09-29,"Curtis, Bailey and Richardson",North America,Tech,SaaS License Pro,13,1200,15600,Elena Rodriguez,Cold Call,Closed Won,100
TXN-1138,2025-09-04,Rodriguez Ltd,LATAM,Healthcare,AI Module Addon,13,15000,195000,Elena Rodriguez,Referral,Discovery,20
TXN-1139,2025-11-13,Robinson-Smith,Europe,Finance,Enterprise Pack,11,50000,550000,David Kim,LinkedIn,Closed Lost,0
TXN-1140,2025-09-04,Gonzalez-Davis,LATAM,Finance,Enterprise Pack,16,50000,800000,James Carter,Event,Closed Lost,0
TXN-1141,2025-10-10,"Barry, Evans and Smith",Asia Pacific,Finance,Enterprise Pack,2,50000,100000,James Carter,Event,Closed Lost,0
TXN-1142,2025-09-17,Campos LLC,LATAM,Manufacturing,Enterprise Pack,15,50000,750000,Sarah Miller,Website,Discovery,20
TXN-1143,2025-11-04,Jensen-Wallace,LATAM,Finance,Enterprise Pack,4,50000,200000,Sarah Miller,Event,Closed Lost,0
TXN-1144,2025-09-03,Lopez Inc,North America,Retail,SaaS License Pro,5,1200,6000,Elena Rodriguez,Cold Call,Negotiation,75
TXN-1145,2025-10-15,Smith Group,Europe,Finance,SaaS License Pro,6,1200,7200,Sarah Miller,Event,Discovery,20
TXN-1146,2025-11-07,"Torres, Mcclain and Archer",Europe,Finance,SaaS License Basic,14,500,7000,David Kim,LinkedIn,Qualifying,20
TXN-1147,2025-09-04,"Lewis, Vasquez and White",Europe,Retail,Enterprise Pack,14,50000,700000,James Carter,LinkedIn,Negotiation,75
TXN-1148,2025-09-14,Taylor-Hodges,Asia Pacific,Manufacturing,SaaS License Basic,7,500,3500,James Carter,LinkedIn,Proposal,50
TXN-1149,2025-10-01,"King, Walker and Allen",Asia Pacific,Manufacturing,Enterprise Pack,18,50000,900000,David Kim,Referral,Proposal,50
TXN-1150,2025-11-13,"Carson, Rivas and Beck",Asia Pacific,Tech,AI Module Addon,2,15000,30000,Elena Rodriguez,Event,Negotiation,75
TXN-1151,2025-11-17,Stewart-Williams,Asia Pacific,Finance,Consulting Hours,12,150,1800,Sarah Miller,LinkedIn,Closed Lost,0
TXN-1152,2025-11-21,Turner and Sons,North America,Finance,Enterprise Pack,7,50000,350000,Elena Rodriguez,Referral,Closed Won,100
TXN-1153,2025-10-27,Smith PLC,Europe,Retail,SaaS License Basic,9,500,4500,David Kim,LinkedIn,Closed Won,100
TXN-1154,2025-09-06,Hall Group,Asia Pacific,Healthcare,AI Module Addon,4,15000,60000,James Carter,LinkedIn,Closed Won,100
TXN-1155,2025-10-29,Stevenson-Peterson,Asia Pacific,Tech,SaaS License Pro,8,1200,9600,Sarah Miller,Website,Negotiation,75
TXN-1156,2025-09-09,"Riley, Cruz and George",Europe,Tech,SaaS License Pro,7,1200,8400,Sarah Miller,Referral,Qualifying,20
TXN-1157,2025-08-31,"Carter, West and Jackson",Asia Pacific,Tech,Consulting Hours,4,150,600,James Carter,Referral,Discovery,20
TXN-1158,2025-09-08,"Barajas, Bennett and Brown",LATAM,Tech,SaaS License Pro,16,1200,19200,James Carter,Website,Closed Won,100
TXN-1159,2025-10-31,Bowers Inc,LATAM,Tech,SaaS License Basic,18,500,9000,Elena Rodriguez,Cold Call,Negotiation,75
TXN-1160,2025-10-31,Rodriguez Inc,North America,Retail,Consulting Hours,13,150,1950,Elena Rodriguez,LinkedIn,Qualifying,20
TXN-1161,2025-10-08,"Smith, Lucas and Brooks",Europe,Healthcare,Consulting Hours,8,150,1200,Elena Rodriguez,Website,Negotiation,75
TXN-1162,2025-10-17,Brown-Russell,North America,Finance,Consulting Hours,3,150,450,Sarah Miller,Website,Negotiation,75
TXN-1163,2025-09-18,Pruitt-Frank,Asia Pacific,Healthcare,Consulting Hours,9,150,1350,Sarah Miller,Cold Call,Discovery,20
